size_win,precision mean,recall mean,precision median,recallmedian,count mean,count median
10000,0.990780577750461,0.9883507050889025,0.990780577750461,0.9883507050889025,(array([0, 1], dtype=int8), array([8373, 1627])),(array([0, 1], dtype=int8), array([8375, 1625]))
50947,0.9744897959183674,0.9639702789849993,0.9744897959183674,0.9639702789849993,(array([0, 1], dtype=int8), array([43891,  7056])),(array([0, 1], dtype=int8), array([43904,  7043]))
10000,0.9946140035906643,0.9952095808383233,0.9946140035906643,0.9952095808383233,(array([0, 1], dtype=int8), array([8329, 1671])),(array([0, 1], dtype=int8), array([8328, 1672]))
10000,0.9963325183374083,0.9932967702620353,0.9963325183374083,0.9932967702620353,(array([0, 1], dtype=int8), array([8364, 1636])),(array([0, 1], dtype=int8), array([8360, 1640]))
10000,0.9922027290448343,0.990914990266061,0.9922027290448343,0.990914990266061,(array([0, 1], dtype=int8), array([8461, 1539])),(array([0, 1], dtype=int8), array([8456, 1544]))
10000,0.9902088772845953,0.9869876382563435,0.9902088772845953,0.9869876382563435,(array([0, 1], dtype=int8), array([8468, 1532])),(array([0, 1], dtype=int8), array([8464, 1536]))
50600,0.9710372378370666,0.9607566346696782,0.9710372378370666,0.9607566346696782,(array([0, 1], dtype=int8), array([43591,  7009])),(array([0, 1], dtype=int8), array([43616,  6984]))
10000,0.9907292954264524,0.9919554455445545,0.9907292954264524,0.9919554455445545,(array([0, 1], dtype=int8), array([8382, 1618])),(array([0, 1], dtype=int8), array([8375, 1625]))
10000,0.9936908517350158,0.9949463044851548,0.9936908517350158,0.9949463044851548,(array([0, 1], dtype=int8), array([8415, 1585])),(array([0, 1], dtype=int8), array([8412, 1588]))
10000,0.9915748541801686,0.9928617780661908,0.9915748541801686,0.9928617780661908,(array([0, 1], dtype=int8), array([8457, 1543])),(array([0, 1], dtype=int8), array([8466, 1534]))
10000,0.9856262833675564,0.9795918367346939,0.9856262833675564,0.9795918367346939,(array([0, 1], dtype=int8), array([8539, 1461])),(array([0, 1], dtype=int8), array([8526, 1474]))
71999,0.9672427652733119,0.9549603174603175,0.9672427652733119,0.9549603174603175,(array([0, 1], dtype=int8), array([62047,  9952])),(array([0, 1], dtype=int8), array([62049,  9950]))
10000,0.993421052631579,0.9927679158448389,0.993421052631579,0.9927679158448389,(array([0, 1], dtype=int8), array([8480, 1520])),(array([0, 1], dtype=int8), array([8484, 1516]))
10000,0.9914101646385111,0.9871703492516037,0.9914101646385111,0.9871703492516037,(array([0, 1], dtype=int8), array([8603, 1397])),(array([0, 1], dtype=int8), array([8608, 1392]))
75395,0.9601871300362803,0.952728306176582,0.9601871300362803,0.952728306176582,(array([0, 1], dtype=int8), array([64921, 10474])),(array([0, 1], dtype=int8), array([64950, 10445]))
10000,0.9947984395318595,0.9922178988326849,0.9947984395318595,0.9922178988326849,(array([0, 1], dtype=int8), array([8462, 1538])),(array([0, 1], dtype=int8), array([8453, 1547]))
10000,0.9857549857549858,0.9857549857549858,0.9857549857549858,0.9857549857549858,(array([0, 1], dtype=int8), array([8596, 1404])),(array([0, 1], dtype=int8), array([8602, 1398]))
34380,0.977793527049374,0.9709125029322073,0.977793527049374,0.9709125029322073,(array([0, 1], dtype=int8), array([30147,  4233])),(array([0, 1], dtype=int8), array([30115,  4265]))
