# TEST CONFIGURATION BEGIN
# FileStream(filename='export_dataframe_0v4.csv', target_idx=-1, n_targets=1, cat_features=[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44])
# [HT] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [HAT] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=[0, 1], remove_poor_atts=False, split_confidence=1e-10, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=100, data_points_for_classification=False, max_samples=1000000, max_time=1000, metrics=['accuracy', 'true_vs_predicted'], n_wait=200, output_file='summary_ht_v5.txt', pretrain_size=10000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[HT],current_acc_[HT],mean_acc_[HAT],current_acc_[HAT],true_value,predicted_value_[HT],predicted_value_[HAT]
16500,0.795455,0.815000,0.796364,0.815000,0.000000,0.000000,0.000000
16600,0.794328,0.760000,0.795373,0.765000,1.000000,0.000000,0.000000
16700,0.794853,0.775000,0.795882,0.780000,1.000000,0.000000,0.000000
16800,0.795072,0.820000,0.796232,0.825000,0.000000,0.000000,0.000000
16900,0.795000,0.800000,0.796143,0.805000,0.000000,0.000000,0.000000
17000,0.794648,0.780000,0.795915,0.785000,0.000000,0.000000,0.000000
17100,0.794583,0.780000,0.795972,0.790000,0.000000,0.000000,0.000000
17200,0.794521,0.790000,0.795890,0.795000,1.000000,0.000000,0.000000
17300,0.793919,0.770000,0.795135,0.765000,0.000000,0.000000,0.000000
17400,0.794267,0.785000,0.795600,0.785000,0.000000,0.000000,0.000000
17500,0.794737,0.825000,0.796053,0.830000,0.000000,0.000000,0.000000
17600,0.794156,0.790000,0.795325,0.785000,1.000000,0.000000,0.000000
17700,0.795256,0.815000,0.796410,0.810000,0.000000,0.000000,0.000000
17800,0.795570,0.850000,0.796456,0.840000,0.000000,0.000000,0.000000
17900,0.795625,0.810000,0.796375,0.795000,1.000000,0.000000,0.000000
18000,0.795185,0.780000,0.795802,0.770000,0.000000,0.000000,0.000000
18100,0.795854,0.805000,0.796220,0.790000,0.000000,0.000000,0.000000
18200,0.795904,0.825000,0.796265,0.815000,0.000000,0.000000,0.000000
18300,0.794881,0.755000,0.795119,0.750000,1.000000,0.000000,0.000000
18400,0.794235,0.725000,0.794471,0.720000,0.000000,0.000000,0.000000
18500,0.794302,0.770000,0.794535,0.770000,0.000000,0.000000,0.000000
18600,0.793908,0.780000,0.794023,0.775000,0.000000,0.000000,0.000000
18700,0.793409,0.755000,0.793523,0.750000,0.000000,0.000000,0.000000
18800,0.793596,0.780000,0.793820,0.785000,0.000000,0.000000,0.000000
18900,0.793778,0.810000,0.794000,0.815000,0.000000,0.000000,0.000000
19000,0.793956,0.810000,0.794286,0.815000,0.000000,0.000000,0.000000
19100,0.794022,0.805000,0.794565,0.820000,1.000000,0.000000,0.000000
19200,0.794301,0.810000,0.794946,0.825000,0.000000,0.000000,0.000000
19300,0.793936,0.790000,0.794574,0.795000,1.000000,0.000000,0.000000
19400,0.793579,0.760000,0.794421,0.770000,1.000000,0.000000,0.000000
19500,0.793021,0.750000,0.793750,0.755000,1.000000,0.000000,0.000000
19600,0.793505,0.790000,0.794227,0.785000,1.000000,0.000000,0.000000
19700,0.793673,0.825000,0.794388,0.825000,0.000000,0.000000,0.000000
19800,0.794141,0.825000,0.794848,0.825000,1.000000,0.000000,0.000000
19900,0.794700,0.845000,0.795400,0.845000,0.000000,0.000000,0.000000
20100,0.794020,0.760000,0.794804,0.765000,0.000000,0.000000,0.000000
20300,0.795096,0.850000,0.795673,0.840000,0.000000,0.000000,0.000000
20500,0.795283,0.805000,0.795660,0.795000,0.000000,0.000000,0.000000
20700,0.794815,0.770000,0.795185,0.770000,0.000000,0.000000,0.000000
